[Tue Oct 03 22:12:55 2023] - name
[Tue Oct 03 22:12:55 2023] - depth 4
[Tue Oct 03 22:12:55 2023] - vcf
[Tue Oct 03 22:12:55 2023] - new xxx
[Tue Oct 03 22:12:55 2023] - black JJJJ
[Tue Oct 03 22:12:55 2023] - next
[Tue Oct 03 22:12:58 2023] - new xxx
[Tue Oct 03 22:12:58 2023] - black JJJJ
[Tue Oct 03 22:12:58 2023] - white JKKJ
[Tue Oct 03 22:12:58 2023] - black ILKK
[Tue Oct 03 22:12:58 2023] - next
[Tue Oct 03 22:13:07 2023] - new xxx
[Tue Oct 03 22:13:07 2023] - black JJJJ
[Tue Oct 03 22:13:07 2023] - white JKKJ
[Tue Oct 03 22:13:07 2023] - black ILKK
[Tue Oct 03 22:13:07 2023] - white HHIH
[Tue Oct 03 22:13:07 2023] - black JIKH
[Tue Oct 03 22:13:07 2023] - next
[Tue Oct 03 22:13:11 2023] - new xxx
[Tue Oct 03 22:13:11 2023] - black JJJJ
[Tue Oct 03 22:13:11 2023] - white JKKJ
[Tue Oct 03 22:13:11 2023] - black ILKK
[Tue Oct 03 22:13:11 2023] - white HHIH
[Tue Oct 03 22:13:11 2023] - black JIKH
[Tue Oct 03 22:13:11 2023] - white HIIJ
[Tue Oct 03 22:13:11 2023] - black GHJG
[Tue Oct 03 22:13:11 2023] - next
[Tue Oct 03 22:13:15 2023] - new xxx
[Tue Oct 03 22:13:15 2023] - black JJJJ
[Tue Oct 03 22:13:15 2023] - white JKKJ
[Tue Oct 03 22:13:15 2023] - black ILKK
[Tue Oct 03 22:13:15 2023] - white HHIH
[Tue Oct 03 22:13:15 2023] - black JIKH
[Tue Oct 03 22:13:15 2023] - white HIIJ
[Tue Oct 03 22:13:15 2023] - black GHJG
[Tue Oct 03 22:13:15 2023] - white IFIG
[Tue Oct 03 22:13:15 2023] - black IIJF
[Tue Oct 03 22:13:15 2023] - next
[Tue Oct 03 22:13:26 2023] - new xxx
[Tue Oct 03 22:13:26 2023] - black JJJJ
[Tue Oct 03 22:13:26 2023] - white JKKJ
[Tue Oct 03 22:13:26 2023] - black ILKK
[Tue Oct 03 22:13:26 2023] - white HHIH
[Tue Oct 03 22:13:26 2023] - black JIKH
[Tue Oct 03 22:13:26 2023] - white HIIJ
[Tue Oct 03 22:13:26 2023] - black GHJG
[Tue Oct 03 22:13:26 2023] - white IFIG
[Tue Oct 03 22:13:26 2023] - black IIJF
[Tue Oct 03 22:13:26 2023] - white JEIE
[Tue Oct 03 22:13:26 2023] - black IDHG
[Tue Oct 03 22:13:26 2023] - next
[Tue Oct 03 22:13:38 2023] - new xxx
[Tue Oct 03 22:13:38 2023] - black JJJJ
[Tue Oct 03 22:13:38 2023] - white JKKJ
[Tue Oct 03 22:13:38 2023] - black ILKK
[Tue Oct 03 22:13:38 2023] - white HHIH
